@relation cleaned_data

@attribute Instance_number numeric
@attribute price numeric
@attribute retail_price numeric
@attribute units_sold numeric
@attribute uses_ad_boosts numeric
@attribute rating numeric
@attribute rating_count numeric
@attribute rating_five_count numeric
@attribute rating_four_count numeric
@attribute rating_three_count numeric
@attribute rating_two_count numeric
@attribute rating_one_count numeric
@attribute badges_count numeric
@attribute badge_local_product numeric
@attribute badge_product_quality numeric
@attribute badge_fast_shipping numeric
@attribute product_variation_size_id numeric
@attribute product_variation_inventory numeric
@attribute shipping_option_price numeric
@attribute shipping_is_express numeric
@attribute countries_shipped_to numeric
@attribute inventory_total numeric
@attribute merchant_rating_count numeric
@attribute merchant_rating numeric
@attribute merchant_has_profile_picture numeric
@attribute pink numeric
@attribute green numeric
@attribute black numeric
@attribute yellow numeric
@attribute brown numeric
@attribute grey numeric
@attribute red numeric
@attribute beige numeric
@attribute orange numeric
@attribute gray numeric
@attribute white numeric
@attribute blue numeric
@attribute purple numeric
@attribute multicolor numeric

@data
94,12.1,11,1000,0,3.62,131,53,26,21,11,20,0,0,0,0,2,50,2,0,41,50,8362,3.817149,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
95,12.1,10,10000,0,4.16,1780,975,406,210,94,95,1,1,0,0,2,5,2,0,72,50,19436,4.109024,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
96,15.4,12,10000,0,3.93,2946,1427,614,452,180,273,0,0,0,0,8,36,4,0,26,50,32858,3.885538,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
97,8.8,56,50,1,4.67,6,4,2,0,0,0,0,0,0,0,8,3,2,0,19,50,47,3.87234,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
98,9.9,9,10000,1,3.74,2148,822,539,410,169,208,0,0,0,0,2,50,3,0,44,50,246312,4.203725,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
99,9.9,57,1000,0,3.63,146,61,32,15,14,24,0,0,0,0,2,50,3,0,71,50,14442,4.143055,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
100,6.38,43,20000,1,3.47,2407,917,426,392,226,446,1,1,0,0,2,50,2,0,35,50,21210,3.962376,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
101,15.4,12,5000,1,3.75,1892,780,431,317,147,217,0,0,0,0,3,48,3,0,37,50,16447,4.030461,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
102,3.3,3,50,0,4.25,4,3,0,0,1,0,0,0,0,0,1,1,1,0,27,50,28,4.035714,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
103,8.8,7,20000,0,3.9,3700,1783,730,566,258,363,0,0,0,0,1,2,2,0,18,50,9492,4.130004,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
104,5.5,5,1000,1,3.77,435,191,87,69,41,47,0,0,0,0,3,50,1,0,39,50,3883,4.288179,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
105,9.9,49,100,1,3.72,109,51,14,21,9,14,0,0,0,0,3,50,3,0,36,50,267,4.041199,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
106,9.9,8,5000,0,4.03,827,445,159,103,45,75,0,0,0,0,2,50,3,0,42,50,124563,4.193589,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
107,14.3,17,5000,0,4.11,792,450,150,88,35,69,0,0,0,0,1,6,3,0,43,50,4571,3.910742,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
108,9.9,34,100,1,4.44,18,13,3,0,1,1,0,0,0,0,3,50,3,0,39,50,1385,4.12491,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
109,14.3,51,5000,0,3.61,127,59,16,20,7,25,0,0,0,0,2,50,3,0,43,50,17244,3.946416,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
110,7.7,6,5000,0,3.29,1042,384,146,158,98,256,0,0,0,0,2,4,2,0,46,50,3460,3.870809,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
111,6.468,9,20000,0,4.07,6450,3383,1430,836,335,466,0,0,0,0,8,50,2,0,55,50,12304,4.319002,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
112,4.191,4,1000,0,3.48,101,41,13,18,11,18,0,0,0,0,1,1,1,0,37,50,1012,3.983202,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
113,13.2,67,10,0,3.67,3,2,0,0,0,1,0,0,0,0,1,20,3,0,32,50,238,4.008403,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
114,3.069,13,100,1,4,2,1,0,1,0,0,0,0,0,0,1,35,1,0,48,50,1309,4.245225,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
115,6.6,6,50,0,4.2,15,9,2,3,0,1,0,0,0,0,1,5,2,0,20,50,144,3.722222,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
116,1.1,10,100,0,3.56,52,22,8,9,3,10,0,0,0,0,8,2,1,0,40,50,91631,3.837937,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
117,12.1,10,100,1,4.14,37,20,7,6,3,1,0,0,0,0,3,50,3,0,41,50,9703,3.970731,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
118,14.3,13,1000,0,4.16,138,82,27,10,7,12,1,0,1,0,2,50,3,0,41,50,12913,3.981337,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
119,5.5,7,20000,1,4.13,2409,1337,495,296,117,164,0,0,0,0,2,13,2,0,28,50,88193,4.080891,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
120,12.1,10,100,1,3.54,13,5,3,1,2,2,0,0,0,0,5,50,2,0,42,50,885,4.155932,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
121,5.5,5,10,0,5,0,442.26,179.6,134.55,63.71,95.74,0,0,0,0,2,50,2,0,8,50,129,3.837209,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
122,8.8,27,5000,1,3.98,921,447,203,145,62,64,0,0,0,0,2,1,3,0,43,50,41906,4.216413,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
123,9.9,8,1000,1,3.29,99,40,12,10,11,26,0,0,0,0,8,44,3,0,28,50,88193,4.080891,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
124,5.5,5,1000,0,3.34,252,80,44,57,23,48,0,0,0,0,1,15,2,0,41,50,15948,4.094745,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
125,8.8,85,20000,0,3.37,5685,1813,1162,1071,609,1030,0,0,0,0,5,50,3,0,47,50,402743,4.156715,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
126,14.3,11,10000,0,4.12,2901,1573,606,399,135,188,0,0,0,0,3,50,3,0,36,50,14502,4.147842,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
127,9.9,34,50,0,4,5,3,0,1,1,0,0,0,0,0,2,50,3,0,61,50,537,4.458101,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
128,8.8,7,20000,1,3.61,5641,2245,1059,999,562,776,0,0,0,0,8,50,2,0,38,50,70773,4.03832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
129,6.6,6,5000,1,3.83,1458,615,357,248,92,146,0,0,0,0,8,4,2,0,38,50,67171,4.102321,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
130,12.1,30,1,0,5,0,442.26,179.6,134.55,63.71,95.74,0,0,0,0,1,10,2,0,33,50,1380,4.007246,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
