@relation cleaned_data

@attribute price numeric
@attribute retail_price numeric
@attribute units_sold numeric
@attribute uses_ad_boosts numeric
@attribute rating numeric
@attribute rating_count numeric
@attribute rating_five_count numeric
@attribute rating_four_count numeric
@attribute rating_three_count numeric
@attribute rating_two_count numeric
@attribute rating_one_count numeric
@attribute badges_count numeric
@attribute badge_local_product numeric
@attribute badge_product_quality numeric
@attribute badge_fast_shipping numeric
@attribute product_variation_size_id numeric
@attribute product_variation_inventory numeric
@attribute shipping_option_price numeric
@attribute shipping_is_express numeric
@attribute countries_shipped_to numeric
@attribute inventory_total numeric
@attribute merchant_rating_count numeric
@attribute merchant_rating numeric
@attribute merchant_has_profile_picture numeric
@attribute pink numeric
@attribute green numeric
@attribute black numeric
@attribute yellow numeric
@attribute brown numeric
@attribute grey numeric
@attribute red numeric
@attribute beige numeric
@attribute orange numeric
@attribute gray numeric
@attribute white numeric
@attribute blue numeric
@attribute purple numeric
@attribute multicolor numeric

@data
7.7,6,1000,1,3.8,46,22,9,6,2,7,0,0,0,0,2,50,2,0,35,50,1685,3.811276,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
8.8,85,20000,0,3.37,5685,1813,1162,1071,609,1030,0,0,0,0,5,50,3,0,47,50,402743,4.156715,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6.6,34,100,0,3.8,10,4,4,0,0,2,0,0,0,0,4,50,2,0,41,50,3897,3.92892,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6.6,7,50,1,4,4,2,1,0,1,0,0,0,0,0,2,50,2,0,45,50,139788,4.166509,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
6.6,6,100,1,5,2,2,0,0,0,0,0,0,0,0,1,1,2,0,27,50,28,4.035714,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
9.9,51,5000,0,4.11,283,173,46,18,15,31,0,0,0,0,2,50,3,0,43,50,80093,4.006692,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7.7,6,1000,0,4.12,442,220,111,72,23,16,0,0,0,0,2,50,2,0,47,50,1369,4.061359,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8.8,7,20000,0,3.39,2877,1046,453,522,289,567,0,0,0,0,2,50,2,0,47,50,402743,4.156715,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6.6,6,20000,1,3.99,1600,809,322,238,100,131,0,0,0,0,4,50,2,0,33,50,16013,4.108849,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5.5,5,1000,1,3.68,155,67,26,26,18,18,0,0,0,0,2,50,2,0,45,50,10600,3.867547,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
9.9,8,1000,0,3.58,81,29,20,13,7,12,0,0,0,0,2,50,3,0,43,50,13814,3.856884,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
8.8,21,100,0,4.06,36,20,6,5,2,3,1,0,1,0,3,50,2,0,48,50,5781,4.274866,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
13.2,11,50,0,4.24,17,9,6,0,1,1,0,0,0,0,8,50,3,0,36,50,2647,3.839819,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
